Country,HDI,Stock_Market_Recovery,Lt_Yc,Mt_Yc,St_Yc,GDP_2019,Real_GDP_Growth,GDP_Deflator,Unemployment,Population,Inflation,Food_Inflation,Interest,Current_Acct_To_GDP,Gold_Tons,Govt_Debt_To_GDP,Household_Debt_To_GDP,Income_Tax,Adjusted_Interest,GDP,Real_GDP,Household_Debt,Household_Debt_To_Real_GDP,Govt_Debt,Govt_Debt_To_Real_GDP,Current_Acct,Current_Acct_To_Real_GDP
US,Developed,-19.13,38.3,15.2,5,2.3,2.4,113.04,4.4,329,1.5,1.9,0.25,-2.3,8133.46,106.9,75.2,37,3.75,2.12E+13,1.88E+13,1.59E+13,0.85006,2.27E+13,1.2084,-4.88E+13,-2.59992
China,Developing,-9.36,116.9,49,17.6,6,6.1,684.89,5.9,1400,4.3,18.3,3.85,1,1948.31,50.5,54.4,45,0.15,1.42E+13,2.07E+12,7.72E+12,3.7258,7.17E+12,3.45869,1.42E+13,6.8489
Japan,Developed,-19.83,14.4,1.2,2.1,1.7,0.9,105.4,2.4,126,0.4,1.4,-0.1,3.5,765.22,238.3,58.6,55.95,4.1,5.11E+12,4.85E+12,2.99E+12,0.61764,1.22E+13,2.51168,1.79E+13,3.689
Germany,Developed,-24.55,24,4.8,-0.16,0.4,0.5,105.6,3.2,83,1.4,3.6,0,7.1,3366.77,59.8,54.3,45,4,4.04E+12,3.83E+12,2.19E+12,0.57341,2.42E+12,0.63149,2.87E+13,7.4976
India,Developing,-24.95,186.9,89,27.3,4.7,6.1,138.8,7.8,1312,5.91,8.76,4.4,-2.1,618.66,69.62,12,35.88,0.4,2.80E+12,2.02E+12,3.36E+11,0.16656,1.95E+12,0.96633,-5.88E+12,-2.9148
UK,Developed,-25.17,23.1,10.9,-4.8,1.1,1.2,106.48,4,66.7,1.5,1.3,0.1,-3.8,310.29,80.8,83.9,45,3.9,2.91E+12,2.73E+12,2.44E+12,0.89337,2.35E+12,0.86036,-1.11E+13,-4.04624
France,Developed,-27.04,57.7,22.1,-13.2,0.8,1.2,105.6,8.1,67,0.7,1.9,0,-0.7,2436.01,98.1,61.4,45,4,2.89E+12,2.74E+12,1.77E+12,0.64838,2.84E+12,1.03594,-2.02E+12,-0.7392
Italy,Developed,-33.83,103.8,48.8,30.9,0.1,0,104.22,9.7,60.36,0.1,1.1,0,3,2451.84,134.8,41.3,43,4,2.03E+12,1.95E+12,8.38E+11,0.43043,2.74E+12,1.40489,6.09E+12,3.1266
Brazil,Developing,-36.98,347.6,238.9,20.2,1.7,0.9,4.2,11.6,210.15,3.3,4.87,3.75,-2.7,67.36,75.79,29.8,27.5,0.25,2.02E+12,4.81E+13,6.02E+11,0.01252,1.53E+12,0.03183,-5.45E+12,-0.1134
Canada,Developed,-19.64,24.5,10.2,-2,1.5,1.5,111.3,7.8,37.78,0.9,2.3,0.25,-2.6,0,89.7,101.67,33,3.75,1.74E+12,1.56E+12,1.77E+12,1.13159,1.56E+12,0.99836,-4.52E+12,-2.8938
South Korea,Developed,-16.67,57.5,29.5,13.5,1.3,2,101.77,3.8,51.71,1,2.6,0.75,3.7,104.45,36.6,93.9,42,3.25,1.69E+12,1.66E+12,1.59E+12,0.95562,6.19E+11,0.37248,6.25E+12,3.76549
Russia,Developing,-20.43,70.5,32.5,16,2.1,1.1,118.53,4.7,146.8,2.5,2.2,5.5,7,2241.86,14.6,18.8,13,1.5,1.75E+12,1.48E+12,3.29E+11,0.22284,2.56E+11,0.17305,1.23E+13,8.2971
Spain,Developed,-34.28,97.3,43.9,1.1,1.8,2.2,105.6,13.8,46.94,0,2.5,0,2,281.58,95.5,57.4,45,4,1.46E+12,1.38E+12,8.38E+11,0.60614,1.39E+12,1.00848,2.92E+12,2.112
Australia,Developed,-27.13,67.5,22,2,2.2,1.7,104.63,5.2,25.6,1.8,2.6,0.25,0.2,68.71,45.1,119.8,45,3.75,1.45E+12,1.39E+12,1.74E+12,1.25347,6.54E+11,0.47188,2.90E+11,0.20926
Mexico,Developing,-24.65,162.5,29,6.3,-0.5,0.4,130.38,3.6,126.58,3.25,6.81,6,-0.2,120.06,46,16.5,35,2,1.20E+12,9.20E+11,1.98E+11,0.21513,5.52E+11,0.59975,-2.40E+11,-0.26076
Indonesia,Developing,-30.12,186.3,116.9,62.8,4.97,5,145.09,5.28,266.1,2.96,6.15,4.5,-3,78.54,29.8,17.8,30,0.5,1.13E+12,7.76E+11,2.00E+11,0.25826,3.36E+11,0.43237,-3.38E+12,-4.3527
Netherlands,Developed,-19.68,42.1,10.6,-9.6,1.6,1.8,107.75,2.9,17.28,1.4,3.2,0,10.2,612.45,48.6,100.9,51.75,4,9.15E+11,8.49E+11,9.23E+11,1.0872,4.45E+11,0.52367,9.33E+12,10.9905
Turkey,Developing,-98.39,307.5,229.5,35.5,6,0.2,191.5,13.8,83.15,11.86,10.05,8.75,1.2,385.45,33.1,14.2,35,4.75,7.40E+11,3.86E+11,1.05E+11,0.27193,2.45E+11,0.63387,8.88E+11,2.298
Switzerland,Developed,-14.54,25.8,4.2,-36.5,1.5,0.8,98.3,2.9,8.54,-0.5,-0.3,-0.75,10.2,1040,41,131.6,40,4.75,7.15E+11,7.27E+11,9.41E+11,1.29363,2.93E+11,0.40303,7.29E+12,10.0266
Poland,Developing,-22.16,77,37.5,14.3,0.3,4,107.5,5.4,37.67,4.6,7.5,0.5,0.5,228.65,46,35.3,32,3.5,6.05E+11,5.63E+11,2.14E+11,0.37948,2.78E+11,0.4945,3.03E+11,0.5375
Taiwan,Developed,-13.24,20.5,6,2,1.89,2,97.95,3.76,23.6,-0.01,1.62,1.13,11.6,423.63,30.9,86.5,40,2.87,6.05E+11,6.18E+11,5.23E+11,0.84727,1.87E+11,0.30267,7.02E+12,11.3622
Sweden,Developed,-19.26,28,10.5,3.5,0.2,0.9,105.6,7.1,10.23,0.6,2.5,0,3.9,125.72,35.1,88.2,57.2,4,5.75E+11,5.45E+11,5.07E+11,0.93139,2.02E+11,0.37066,2.24E+12,4.1184
Belgium,Developed,-28.01,60.5,25.3,-10.3,0.4,1.2,107.64,5.2,11.46,0.62,2.34,0,-1.2,227.4,98.6,61.1,53.7,4,5.32E+11,4.94E+11,3.25E+11,0.65768,5.25E+11,1.06133,-6.38E+11,-1.29168
Thailand,Developing,-26.86,53.8,20.1,-1.7,0.2,2.9,154.74,1,66.56,-0.54,1.58,0.75,6.8,153.84,41.8,68.6,35,3.25,5.20E+11,3.36E+11,3.57E+11,1.06152,2.17E+11,0.64681,3.54E+12,10.52232
Argentina,Developing,-32.44,-4729.5,-3505.5,4836,-1,-3.1,3770.07,8.9,44.94,46.9,54.2,38,-5.4,61.74,86.2,5.3,35,34,4.50E+11,11936117897,23850000000,1.99814,3.88E+11,32.498,-2.43E+12,-203.58378
Nigeria,Developing,-29.94,500.8,287.1,321.8,5.59,2.3,202.67,23.1,200,12.26,14.98,13.5,2.3,21.46,17.5,25,24,9.5,4.10E+11,2.02E+11,1.03E+11,0.50668,71750000000,0.35467,9.43E+11,4.66141
Austria,Developed,-34.11,48.9,21.2,1.9,0.3,1.6,106.75,12.2,8.86,1.6,1.8,0,2.6,279.99,70.4,48.8,55,4,4.59E+11,4.30E+11,2.24E+11,0.52094,3.23E+11,0.75152,1.19E+12,2.7755
Norway,Developed,-22.83,43.5,14.4,9.7,-1.5,1.9,104.29,3.5,5.33,0.7,2.7,0.25,7.1,0,40.6,103.8,38.2,3.75,4.50E+11,4.31E+11,4.67E+11,1.08253,1.83E+11,0.42342,3.20E+12,7.40459
Ireland,Developed,-25.74,49.5,19.4,0.5,1.8,4.3,102.08,5.4,4.9,0.7,-1.6,0,-9.4,6,58.8,39.7,48,4,3.81E+11,3.74E+11,1.51E+11,0.40526,2.24E+11,0.60023,-3.58E+12,-9.59552
Israel,Developed,-17.46,62.7,26.3,4.9,1.1,3.1,104.59,3.4,9.15,0,-0.2,0.1,1.9,0,60,41.8,50,3.9,3.75E+11,3.59E+11,1.57E+11,0.43719,2.25E+11,0.62754,7.13E+11,1.98721
Hong Kong,Developed,-19.29,27.8,4.8,-12.8,-0.3,0.3,106.4,4.2,7.5,2.3,5.7,0.86,6.2,2.08,38.4,78.7,17,3.14,3.65E+11,3.43E+11,2.87E+11,0.83737,1.40E+11,0.40858,2.26E+12,6.5968
Malaysia,Developing,-18.97,33.7,3.9,-9.8,0.6,4.5,106,3.3,32.6,-0.2,1.2,2.5,2.3,38.88,51.8,68,30,1.5,3.70E+11,3.49E+11,2.52E+11,0.7208,1.92E+11,0.54908,8.51E+11,2.438
Singapore,Developed,-21.56,51.5,1.1,5.2,-10.6,0.5,106.71,2.3,5.71,0,1.5,1.26,16.9,127.4,126.3,51.5,22,2.74,3.82E+11,3.58E+11,1.97E+11,0.54956,4.82E+11,1.34775,6.46E+12,18.03399
Philippines,Developing,-34.84,40.4,25.5,3.4,2.2,5.7,199.02,5.3,108.8,2.5,2.6,2.75,2.2,197.93,41.5,60,35,1.25,3.56E+11,1.79E+11,2.13E+11,1.19412,1.48E+11,0.82593,7.82E+11,4.37844
South Africa,Developing,-15.84,487,316,166,-1.4,0.7,101,29.1,58.8,4.1,4.4,4.25,-3,125.31,62.2,34.1,45,0.25,3.50E+11,3.47E+11,1.19E+11,0.34441,2.18E+11,0.62822,-1.05E+12,-3.03
Denmark,Developed,-7.7,18,6.8,2.3,0.8,1.7,109.33,3.7,5.81,0.4,1.2,-0.6,7.9,66.55,33.2,113.5,55.8,4.6,3.52E+11,3.22E+11,3.99E+11,1.2409,1.17E+11,0.36298,2.78E+12,8.63707
Colombia,Developing,-32.74,292.8,138.3,17,0.5,3.4,105,12.2,50.37,3.86,7.19,3.75,-4.3,18.92,50.5,26.2,39,0.25,3.70E+11,3.52E+11,96940000000,0.2751,1.87E+11,0.53025,-1.59E+12,-4.515
Bangladesh,Developing,-32.51,100,45.4,21,7.9,7.8,229.41,4.2,165.2,5.48,5,6,-3.6,13.97,27.9,7.75,30,2,2.86E+11,1.25E+11,22165000000,0.17779,79794000000,0.64005,-1.03E+12,-8.25876
Egypt,Developing,-31.07,112.3,59.9,66.9,4.8,5.5,150,8,99.8,5.1,-1.7,9.25,-3.6,78.97,90,6.5,22.5,5.25,2.80E+11,1.87E+11,18200000000,0.0975,2.52E+11,1.35,-1.01E+12,-5.4
Chile,Developing,-27.08,232,90,1,-4.1,2.5,130,7.8,19.11,3.7,6.1,0.5,-3.9,0.25,27.9,46.9,35,3.5,3.00E+11,2.31E+11,1.41E+11,0.6097,83700000000,0.3627,-1.17E+12,-5.07
Finland,Developed,-20.75,46,17.3,5.8,-0.7,1.2,117.69,7.3,5.53,0.6,1.8,0,-0.8,49.14,59.4,65.4,53.75,4,2.91E+11,2.47E+11,1.90E+11,0.76969,1.73E+11,0.69908,-2.33E+11,-0.94152
Czech Republic,Developed,-24.15,73.2,22.1,12.8,0.3,2.5,118.3,3,10.68,3.4,6.4,1,-0.4,7.99,30.8,32.1,22,3,2.47E+11,2.09E+11,79190700000,0.37974,75983600000,0.36436,-98680000000,-0.4732
Portugal,Developed,-22.74,98,53.7,17.5,0.7,1.9,1.6,6.7,10.26,0,1.22,0,-0.1,382.54,117.7,64.9,48,4,2.45E+11,1.53E+13,1.59E+11,0.01038,2.88E+11,0.01883,-24500000000,-0.0016
Greece,Developed,-32.98,146.2,100.3,33.4,-0.7,2,96.54,16.4,10.72,0,-0.1,0,-1.4,113.4,176.6,54.4,45,4,2.22E+11,2.30E+11,1.21E+11,0.52518,3.92E+11,1.7049,-3.11E+11,-1.35156
New Zealand,Developed,-10.11,55.2,13.3,4.5,0.5,2.5,1230,4,4.95,2.5,3.3,0.25,-3.6,0,19.2,93.8,33,3.75,2.15E+11,17479674797,2.02E+11,11.5374,41280000000,2.3616,-7.74E+11,-44.28
Hungary,Developing,-26.84,106,19,13,1,4.6,166.77,3.7,9.77,3.9,7.7,0.9,-0.8,31.51,66.3,18.1,15,3.1,1.70E+11,1.02E+11,30770000000,0.30185,1.13E+11,1.10569,-1.36E+11,-1.33416
Lithuania,Developing,-7.7,25,0,0,1,3.4,113.35,9.8,2.79,1.8,3.6,0,4.3,5.82,36.3,23.08,15,4,54300000000,47904719894,12532440000,0.26161,19710900000,0.41146,2.33E+11,4.87405
